"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Anolis","morant",0,0,0
"Anolis","navassa",0,1,1
"Anolis","orchila",0,0,0
"Anolis","pedro",0,0,0
"Anolis","plana cays",0,2,2
"Anolis","puerto rico",1,14,15
"Anolis","redonda",0,1,1
"Anolis","roatan",1,2,3
"Anolis","roques",0,0,0
"Anolis","rum cay",0,2,2
"Anolis","saba",0,1,1
"Anolis","samana",0,1,1
"Anolis","san andres",0,1,1
"Anolis","san salvador",0,2,2
"Anolis","sombrero",0,1,1
"Anolis","st christopher",1,2,3
"Anolis","st croix",0,1,1
"Anolis","st lucia",3,1,4
"Anolis","st vincent",1,2,3
"Anolis","swan",0,1,1
"Anolis","testigos",0,0,0
"Anolis","tobago",2,0,2
"Anolis","tortuga",0,1,1
"Anolis","trinidad",5,1,6
"Anolis","turks",0,1,1
"Anolis","turneffe",1,0,1
"Anolis","utila",1,3,4
"Gekkota","anguilla",2,4,6
"Gekkota","antigua",1,2,3
"Gekkota","aruba",3,2,5
"Gekkota","aves",0,0,0
"Gekkota","barbados",1,1,2
"Gekkota","bermuda",0,0,0
"Gekkota","blanquilla",0,2,2
"Gekkota","bonaire",1,3,4
"Gekkota","caicos",2,2,4
"Gekkota","cay sal",0,1,1
"Gekkota","cayman brac",1,2,3
"Gekkota","chinchorro",0,1,1
"Gekkota","conception",0,1,1
"Gekkota","corn",3,3,6
"Gekkota","cozumel",1,3,4
"Gekkota","crooked acklins",0,1,1
"Gekkota","cuba",5,25,30
"Gekkota","curacao",5,3,8
"Gekkota","desecheo",0,1,1
"Gekkota","dominica",1,3,4
"Gekkota","glover",1,1,2
"Gekkota","grand cayman",2,2,4
"Gekkota","great bahama",5,3,8
"Gekkota","great inagua",2,2,4
"Gekkota","grenada",2,4,6
"Gekkota","guadeloupe",3,2,5
"Gekkota","guanaja",2,3,5
"Gekkota","hispaniola",3,40,43
"Gekkota","iles des saintes",1,2,3
"Gekkota","ilsa de providencia",0,2,2
"Gekkota","jamaica",2,10,12
"Gekkota","klein curacao",0,1,1
"Gekkota","las aves",0,2,2
"Gekkota","lighthouse atoll",0,1,1
"Gekkota","little bahama",2,1,3
"Gekkota","little cayman",1,2,3
"Gekkota","little inagua",0,1,1
"Gekkota","marie galante",1,2,3
"Gekkota","martinique",3,3,6
"Gekkota","mayaguana",1,1,2
"Gekkota","mira por vos",0,0,0
"Gekkota","mona",2,1,3
"Gekkota","monito",0,1,1
"Gekkota","monjes",0,1,1
"Gekkota","montserrat",1,2,3
"Gekkota","morant",1,1,2
"Gekkota","navassa",0,2,2
"Gekkota","orchila",1,2,3
